id;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f20;f21;f22;f23;f24;f25;f26;f27;f28;f29;f30;target
41;41;0,7858;1;1;1;3;3;4;3;1;0;8;8;8;8;1;1;1;1;1;42;5851;1;1;1;9;1;15;9;17,95460024;0
42;1;72,057;1;1;1;2;1;1;1;1;0;1;1;1;1;1;1;1;1;1;43;2600;1;1;1;9;1;71;15;5,63716293;0
43;1;0,0279;6;1;3;4;2;3;3;1;116;7;17;32;32;1;1;1;1;1;39;5832;1;1;1;10;1;14;7;0,000113804;0
44;1;0,0318;1;1;1;3;1;5;1;1;51;2;12;12;12;1;1;1;1;1;49;2443;1;1;1;12;1;64;33;2,368843966;0
45;1;9,0208;1;1;1;1;1;1;1;1;8;1;1;2;3;1;1;1;1;1;50;5400;1;1;1;8;1;30;9;0,000203922;0
46;2;0,0449;1;1;1;2;1;2;1;1;0;2;2;2;2;1;2;1;1;1;53;5402;1;1;1;12;1;32;9;0,00010215;0
47;9;53,6941;1;1;3;4;3;2;1;1;0;1;1;1;1;1;1;1;1;1;34;2808;1;1;1;8;1;34;18;82,2866026;0
48;3;2,846;1;1;1;4;1;2;1;1;8;1;9;9;9;1;1;1;1;1;31;3240;1;1;1;12;1;17;15;5,016728338;0
49;2;535,9673;2;1;1;1;1;1;1;1;8;2;2;2;2;1;1;1;1;1;37;3780;1;1;1;9;1;70;13;5,318370364;0
50;2;24,0169;2;1;2;6;3;2;2;1;0;2;2;2;3;1;1;1;1;1;42;2493;1;1;1;13;1;60;20;17,38445773;0
51;2;175,3119;1;1;1;1;1;1;1;1;0;1;1;1;1;1;2;1;1;1;45;3000;1;1;1;10;1;19;17;23,75127285;0
52;2;55,5224;1;1;1;2;1;2;1;1;0;1;1;1;1;1;1;1;1;1;48;2808;1;1;1;10;1;71;18;17,84310496;1
53;1;134,3113;2;2;1;2;2;1;2;1;8;2;2;2;2;1;1;1;1;1;50;5400;1;1;1;10;1;65;9;14,0549604;1
54;1;2,2926;1;1;1;1;1;3;1;1;0;1;8;8;8;1;1;1;1;1;38;4320;1;1;1;6;1;39;12;0,000166265;0
55;12;24,8774;2;1;1;1;1;2;1;1;52;2;2;2;3;1;1;1;1;1;49;3782;1;1;1;13;1;61;13;9,59232586;1
56;37;13,7116;1;1;1;2;1;2;1;1;8;1;1;2;2;1;1;1;1;1;34;4320;1;1;1;9;1;68;12;9,21076438;0
57;4;0,0418;1;2;1;1;1;3;1;1;17;2;2;8;9;1;2;1;1;1;36;4095;1;1;1;9;1;14;12;23,81037113;1
58;3;0,1012;4;1;1;2;2;2;2;1;8;16;16;16;16;1;1;1;1;1;49;4320;1;1;1;9;1;36;7;21,17706737;1
59;2;6,4286;2;2;1;4;2;6;3;1;10;2;3;8;8;1;1;1;1;1;45;5482;1;1;1;9;1;60;15;10,20457238;0
60;1;47,9471;2;1;2;2;2;2;1;1;0;2;2;2;2;1;1;1;1;1;28;3000;1;1;1;10;1;8;17;15,36443913;0
61;1;22,0132;1;1;1;2;1;3;1;1;30;1;1;1;11;1;1;1;1;1;54;4500;1;1;1;7;1;60;18;80,10079103;1
62;1;780,2694;2;1;1;1;1;1;1;1;0;2;2;2;2;1;1;1;1;1;31;2527;1;1;1;10;1;7;20;4,129952981;0
63;4;0,0263;1;1;2;2;1;1;1;1;110;3;7;7;8;1;1;1;1;1;45;4985;1;1;1;10;1;36;10;28,68160104;0
64;1;1,186;1;1;1;1;1;1;1;1;17;1;3;3;3;1;1;1;1;1;54;5851;1;1;1;10;1;34;9;6,313914329;1
65;1;7,0039;3;1;1;3;2;2;1;1;67;3;3;35;35;1;1;1;1;1;38;4320;1;1;1;12;1;33;12;0,000212939;1
66;1;6,2259;3;1;1;1;1;1;1;1;28;3;19;19;19;1;1;1;1;1;36;3780;1;1;1;9;1;67;13;0,000231443;0
67;4;3,0657;1;1;1;1;1;1;1;1;0;1;2;2;2;1;1;1;1;1;39;3488;1;1;1;10;1;60;14;40,46864796;0
68;1;575,1336;2;1;1;1;1;1;1;1;8;2;2;2;2;1;1;1;1;1;50;6301;1;1;1;9;1;9;8;3,456182755;1
69;1;0,0635;1;1;1;1;1;1;1;1;8;3;3;3;3;1;1;1;1;1;47;5402;1;1;1;9;1;21;9;27,41131513;0
70;1;35,0462;2;1;1;2;2;1;1;1;116;2;2;2;2;1;1;1;1;1;30;6480;1;1;1;9;1;12;8;43,39165017;0
71;2;56,9389;4;2;1;6;3;1;2;1;117;4;4;4;4;1;1;1;1;1;38;5467;1;1;1;9;1;127;7;34,56165011;1
72;27;0,8898;1;1;1;1;1;3;1;1;25;6;14;14;14;1;1;1;1;1;48;2500;1;1;1;10;1;14;20;14,2794268;0
73;38;3,2626;1;2;1;4;3;5;3;1;0;1;2;2;21;1;2;1;1;1;46;3987;1;1;1;10;1;36;13;20,03806389;0
74;1;3,7323;1;1;1;1;1;2;1;1;8;1;2;2;2;1;1;1;1;1;33;5402;1;1;1;7;1;69;9;81,45867064;0
75;1;9,4658;1;1;1;1;2;2;1;1;0;1;1;9;9;1;1;1;1;1;43;3601;1;1;1;9;1;39;14;0,00020525;0
76;2;17,883;2;1;1;1;1;2;1;1;116;2;2;2;4;1;2;1;1;1;29;6480;1;1;1;10;1;6;11;2,90242917;0
77;1;0,0238;1;1;1;1;1;1;1;1;0;3;3;3;3;1;1;1;1;1;38;2700;1;1;1;9;1;39;19;8,731247514;0
78;1;6,9522;1;1;1;2;1;2;1;1;8;1;2;2;2;1;1;1;1;1;54;2700;1;1;1;9;1;40;19;27,95254907;0
79;2;18,0772;1;1;1;1;1;5;1;1;8;1;1;1;9;1;1;1;1;1;32;5400;1;1;1;12;1;33;9;40,35099686;0
80;1;19,3717;1;1;2;7;3;4;1;1;0;1;1;1;15;1;1;1;1;1;36;2925;1;1;1;12;1;31;17;1,802285745;0
81;1;0,036;1;2;1;2;1;6;2;1;8;2;4;13;15;1;2;1;1;1;58;3240;1;1;1;10;1;69;15;0,0000766;0
82;1;203,0782;3;1;1;1;1;1;1;1;116;3;3;3;3;1;1;1;1;1;35;5670;1;1;1;10;1;12;14;4,129996364;0
83;59;117,546;1;1;2;2;2;1;1;1;0;1;1;1;1;1;1;1;1;1;39;4501;1;1;1;12;1;66;11;1,776586244;0
84;1;0,0877;1;1;1;1;1;1;2;1;68;19;19;29;32;1;1;1;1;1;30;3348;1;1;1;9;1;55;15;0,000179841;0
85;1;0,0456;1;1;1;2;1;2;1;1;0;2;2;2;2;1;1;1;1;1;41;2583;1;1;1;6;1;40;19;66,30867635;0
86;1;151,2835;2;1;1;3;2;1;1;1;0;2;2;2;2;1;1;1;1;1;33;2750;1;1;1;8;1;48;18;0,000144058;0
87;1;235,0129;2;2;1;2;2;1;2;1;8;2;2;2;2;1;2;1;1;1;41;3601;1;1;1;12;1;61;14;2,812931139;0
88;7;17,6415;2;1;2;2;2;3;1;1;100;2;2;2;14;1;3;1;1;1;59;2500;1;1;1;6;1;36;20;7,203977199;0
89;1;55,5461;1;2;2;2;2;2;2;1;0;1;1;1;1;1;1;1;1;1;39;3000;1;1;1;8;1;60;7;2,763814108;0
90;5;160,2623;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;32;3500;1;1;1;10;1;60;6;21,98383566;0
91;1;0,2967;2;1;1;1;1;1;1;1;8;9;9;9;9;1;1;1;1;1;36;2700;1;1;1;10;1;24;19;0,000132373;0
92;1;4,6555;1;1;2;2;1;4;1;1;56;1;12;12;12;1;1;1;1;1;36;3488;1;1;1;10;1;24;14;5,063257299;1
93;9;8,2385;2;1;1;1;1;2;1;1;20;2;2;4;4;1;1;1;1;1;42;3240;1;1;1;10;1;65;15;23,81488031;1
94;6;0,045;1;1;2;3;1;2;1;1;95;40;40;44;44;1;1;1;1;1;36;2925;1;1;1;9;1;29;17;5,835555079;0
95;2;4,4381;1;3;1;4;3;2;2;1;0;1;16;16;16;1;1;1;1;1;43;2700;1;1;1;10;1;24;22;7,333077241;0
96;21;0,3697;1;1;1;1;1;2;1;1;13;8;8;8;8;1;1;1;1;1;55;5940;1;1;1;11;1;18;8;14,62273784;0
97;1;6,3294;1;1;1;1;1;1;1;1;38;1;2;2;2;1;1;1;1;1;46;2981;1;1;1;10;1;6;17;9,049527983;0
98;1;161,406;2;2;1;3;2;1;2;1;0;2;2;2;2;1;1;1;1;1;44;2981;1;1;1;12;1;24;20;0,000126217;0
99;1;242,306;3;1;1;2;2;1;1;1;0;3;3;3;3;1;1;1;1;1;43;3334;1;1;1;10;1;62;15;8,521452085;0
100;1;0,0961;3;1;1;1;1;1;1;1;14;6;6;6;6;1;1;1;1;1;27;4000;1;1;1;12;1;36;10;0,0000264;0
101;16;2,1263;1;1;1;1;1;2;1;1;15;1;2;2;2;1;1;1;1;1;50;6435;1;1;1;10;1;32;8;27,87573124;0
102;1;323,3116;2;1;1;2;2;1;1;1;8;2;2;2;2;1;1;1;1;1;33;4698;1;1;1;9;1;22;11;2,311011738;0
103;1;3,1642;2;1;1;1;1;2;1;1;0;2;5;5;6;1;1;1;1;1;58;4860;1;1;1;9;1;24;10;11,76180847;1
104;1;7,303;1;1;1;2;2;2;1;1;7;1;1;2;2;1;1;1;1;1;40;3000;1;1;1;10;1;80;17;15,18174385;1
105;2;267,9236;1;1;1;1;1;1;2;1;0;1;1;1;1;1;1;1;1;1;42;2538;1;1;1;9;1;27;20;42,9865194;0
106;34;353,1679;3;1;1;1;1;1;1;1;0;3;3;3;3;1;1;1;1;1;52;3500;1;1;1;9;1;24;14;26,46682354;0
107;9;360,0231;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;42;2607;1;1;1;10;1;12;12;87,81769933;0
108;14;78,6303;3;1;1;4;3;1;2;1;8;3;3;3;3;1;1;1;1;1;41;5130;1;1;1;9;1;6;6;19,14138218;0
109;1;66,2287;2;1;2;3;2;1;1;1;0;2;2;2;2;1;1;1;1;1;42;2500;1;1;1;9;1;24;12;23,1533261;0
110;1;242,2062;2;1;1;2;2;1;1;1;0;2;2;2;2;1;1;1;1;1;41;2500;1;1;1;12;1;24;20;0,000128687;0
111;1;314,8895;1;3;1;1;1;1;3;1;0;1;1;1;1;1;3;1;1;1;51;2981;1;1;1;6;1;60;23;9,4926491;1
112;49;137,0575;1;1;1;2;1;1;1;1;0;1;1;1;1;1;1;1;1;1;34;3000;1;1;1;10;1;48;27;18,09663511;0
113;1;236,8679;3;1;1;2;2;1;2;1;0;3;3;3;3;1;1;1;1;1;40;5000;1;1;1;12;1;60;10;8,155358932;0
114;58;104,4904;4;1;2;2;2;1;1;1;116;4;4;4;4;1;1;1;1;1;42;6480;1;1;1;10;1;36;8;5,446386191;0
115;5;0,2357;1;1;1;1;1;2;2;1;8;2;2;2;2;1;1;1;1;1;30;3242;1;1;1;10;1;15;15;92,45331042;0
116;65;324,0246;2;1;1;2;2;1;1;1;8;2;2;2;2;1;1;1;1;1;45;3242;1;1;1;12;1;67;15;11,48568482;0
117;28;10,2103;2;1;2;3;3;4;0;1;28;2;2;4;14;1;1;1;1;1;35;2493;1;1;1;9;1;12;16;21,09384595;1
118;1;65,8766;4;1;1;3;2;1;1;1;0;4;4;4;4;1;1;1;1;1;44;3478;1;1;1;10;1;12;6;0,0000883;0
119;2;11,0524;1;1;1;2;1;2;1;1;0;1;1;2;2;1;1;1;1;1;49;3000;1;1;1;13;1;36;10;2,532569479;0
120;52;0,1502;1;1;1;1;1;3;1;1;104;3;4;4;4;1;1;1;1;1;30;2242;1;1;1;9;1;24;22;30,77305365;1
121;28;0,9435;1;1;1;2;1;3;1;1;117;2;6;6;6;1;1;1;1;1;35;5400;1;1;1;9;1;65;9;7,136846536;0
122;51;0,0346;1;1;1;3;1;7;2;1;77;2;83;91;93;1;1;1;1;1;45;2443;1;1;1;10;1;96;33;14,10764646;0
123;4;52,9654;1;1;1;2;2;2;1;1;0;1;1;1;1;1;1;1;1;1;57;2702;1;1;1;9;1;21;19;14,78543042;0
124;33;114,6046;1;1;1;3;3;1;1;1;0;1;1;1;1;1;1;1;1;1;34;4501;1;1;1;8;1;67;11;23,93171074;0
125;1;0,016;1;1;1;1;1;2;1;1;96;2;3;3;3;1;1;1;1;1;34;3916;1;1;1;7;1;127;13;4,457110068;0
126;1;4,9466;2;1;1;2;1;2;1;1;73;2;7;7;8;1;1;1;1;1;41;4320;1;1;1;10;1;67;12;19,55675756;0
127;7;25,1092;3;3;1;3;1;2;3;1;233;3;3;3;14;1;2;1;1;1;39;5000;1;1;1;10;1;60;10;23,509823;1
128;42;80,2084;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;33;3000;1;1;1;10;1;24;17;17,46027171;1
129;19;4,4516;2;1;2;2;3;3;1;1;0;2;5;5;5;1;1;1;1;1;32;2992;1;1;1;10;1;24;17;4,987847065;0
130;53;5,4437;1;1;1;1;1;2;2;1;0;1;2;2;2;1;1;1;1;1;43;5000;1;1;1;10;1;48;10;15,29309567;0
131;1;104,2827;1;1;1;5;2;1;1;1;0;1;1;1;1;1;1;1;1;1;42;3000;1;1;1;9;1;60;27;22,65529209;0
132;1;41,5884;1;1;1;1;1;2;1;1;0;1;1;1;1;1;2;1;1;1;49;6500;1;1;1;9;1;6;8;25,72918537;0
133;11;16,1845;1;1;2;2;2;2;1;1;0;1;1;1;23;1;1;1;1;1;42;2250;1;1;1;10;1;60;13;10,67325222;0
134;1;0,1605;2;1;1;1;1;1;1;1;0;4;4;6;6;1;1;1;1;1;58;3500;1;1;1;10;1;60;14;11,3238138;0
135;1;12,8122;2;1;1;3;3;2;1;1;0;2;2;14;14;1;1;1;1;1;40;2375;1;1;1;9;1;24;21;33,46688189;0
136;1;886,1519;2;1;1;1;1;1;1;1;0;2;2;2;2;1;1;1;1;1;47;4100;1;1;1;10;1;64;12;14,38719281;0
137;1;49,0187;2;1;1;1;1;1;0;1;0;2;2;2;2;1;1;1;1;1;45;3000;1;1;1;10;1;82;17;0,000120644;0
138;58;1,3871;1;1;1;1;1;6;1;1;36;1;11;14;14;1;1;1;1;1;43;2709;1;1;1;12;1;29;18;35,70549401;1
139;1;278,5055;1;1;1;2;1;1;1;1;0;1;1;1;1;1;1;1;1;1;36;2768;1;1;1;10;1;127;18;1,219054505;0
140;1;5,55;1;1;1;3;2;4;1;1;97;1;2;13;13;1;1;1;1;1;37;5001;1;1;1;10;1;24;8;0,00019614;0
141;1;51,9261;1;1;1;2;2;2;1;1;0;1;1;1;1;1;2;1;1;1;43;3500;1;1;1;13;1;24;14;11,12676591;0
142;34;1,2504;1;1;1;1;1;2;1;1;44;1;4;4;4;1;1;1;1;1;31;3251;1;1;1;10;1;21;15;33,20846027;0
143;1;44,4381;1;3;1;1;1;3;1;1;0;1;1;1;1;1;3;1;1;1;54;2761;1;1;1;9;1;20;18;2,59869595;0
144;5;48,059;2;1;2;3;2;3;1;1;0;2;2;2;2;1;1;1;1;1;34;2500;1;1;1;14;1;24;28;8,733752129;0
145;6;9,353;1;2;1;3;3;6;1;1;50;1;1;9;21;1;1;1;1;1;59;5233;1;1;1;10;1;12;10;32,80442571;1
146;5;36,0109;1;1;1;1;1;3;1;1;0;1;1;1;1;1;1;1;1;1;34;3500;1;1;1;6;1;12;23;2,97433783;0
147;1;18,5723;3;1;2;2;2;2;1;1;0;3;3;3;10;1;1;1;1;1;28;4486;1;1;1;10;1;12;11;0,0000332;0
148;1;0,0471;1;1;1;1;1;1;2;1;29;3;3;3;3;1;1;1;1;1;31;6455;1;1;1;6;1;28;6;0,00012852;0
149;12;1,6363;1;1;1;2;1;1;1;1;7;1;7;7;7;1;1;1;1;1;27;2990;1;1;1;12;1;24;27;31,50479867;0
150;1;3,1347;1;1;1;2;1;1;1;1;0;1;2;2;2;1;1;1;1;1;36;3521;1;1;1;10;1;73;14;31,6747814;0
151;35;12,939;2;1;1;1;1;3;2;1;0;2;2;4;8;1;1;1;1;1;48;5000;1;1;1;10;1;36;16;26,23824096;0
152;37;0,036;1;3;2;8;3;2;0;1;0;3;3;3;3;1;2;1;1;1;34;2500;1;1;1;12;1;24;16;16,8882105;1
153;9;14,0388;3;1;1;1;1;1;1;1;9;3;3;3;6;1;1;1;1;1;41;2438;1;1;1;12;1;36;12;17,96993668;0
154;1;19,0489;1;1;1;2;1;3;3;1;26;1;1;1;10;1;1;1;1;1;46;3000;1;1;1;12;1;60;17;5,587542947;0
155;2;0,1098;1;1;1;1;1;2;1;1;8;7;12;12;12;1;1;1;1;1;31;3251;1;1;1;10;1;46;15;29,23253931;1
156;4;45,0367;3;1;3;4;3;3;1;1;0;3;3;3;3;1;1;1;1;1;47;5000;1;1;1;10;1;12;16;9,870383327;0
157;1;0,0556;1;1;1;2;1;2;1;1;43;2;2;2;2;1;1;1;1;1;43;3000;1;1;1;12;1;24;20;0,0000851;0
158;8;241,3145;1;1;1;2;2;1;1;1;0;1;1;1;1;1;1;1;1;1;55;2990;1;1;1;12;1;48;7;21,68877353;0
159;47;3,9609;5;1;1;1;1;2;1;1;8;5;6;6;6;1;1;1;1;1;55;6500;1;1;1;9;1;60;12;12,10894683;1
160;8;0,0225;1;3;1;2;1;1;2;1;0;5;5;5;5;1;3;1;1;1;42;4501;1;1;1;8;1;48;11;30,5986438;1
161;2;0,1911;1;2;2;1;1;1;2;1;72;3;3;3;3;1;2;1;1;1;27;3350;1;1;1;10;1;44;12;6,324737488;0
162;2;0,6359;1;2;2;3;1;2;3;1;55;2;9;9;19;1;2;1;1;1;32;2709;1;1;1;12;1;13;18;9,59569487;0
163;1;14,9736;1;1;1;1;1;2;1;1;30;1;1;1;2;1;1;1;1;1;53;6479;1;1;1;10;1;60;8;8,447512846;0
164;3;315,1382;2;1;2;2;2;1;1;1;0;2;2;2;2;1;1;1;1;1;36;5500;1;1;1;9;1;48;15;37,9122;0
165;1;34,0067;3;1;1;2;1;2;1;1;7;3;3;3;3;1;1;1;1;1;58;4000;1;1;1;9;1;36;13;2,7116;0
166;2;42,1552;9;1;2;4;2;1;1;1;0;9;9;9;9;1;1;1;1;1;38;3513;1;1;1;8;1;76;23;0,0001;0
167;2;0,0306;2;4;2;2;2;1;2;1;102;9;9;9;9;1;3;1;1;1;57;3251;1;1;1;10;1;12;15;10,2388;0
168;1;0,0161;2;1;1;1;1;2;1;1;0;4;6;6;6;1;1;1;1;1;35;5500;1;1;1;5;1;12;15;9,4926;1
169;13;1,1107;1;1;1;1;1;2;3;1;182;1;16;16;16;1;1;1;1;1;50;5418;1;1;1;10;1;60;9;35,2264;0
170;1;41,0595;2;1;5;4;2;3;2;1;0;2;2;2;2;1;1;1;1;1;56;2350;1;1;1;10;1;12;21;22,8797;0
171;1;0,1737;2;1;2;4;3;1;2;1;0;7;7;7;7;1;1;1;1;1;39;2600;1;1;1;13;1;48;12;0,0002;0
172;36;76,3608;2;2;2;6;4;1;3;1;0;2;2;2;2;1;1;1;1;1;57;3500;1;1;1;6;1;36;14;4,6839;1
173;1;0,0183;2;2;1;4;3;3;2;1;14;3;8;9;9;1;1;1;1;1;45;5000;1;1;1;12;1;60;10;0,0002;1
174;64;2,8457;2;1;1;1;1;2;1;1;81;2;3;3;3;1;1;1;1;1;32;3612;1;1;1;9;1;12;14;20,1699;0
175;1;0,0184;1;1;2;3;2;1;1;1;0;2;2;2;2;1;1;1;1;1;48;4000;1;1;1;8;1;60;15;0,0001;0
176;29;0,0118;2;1;2;5;4;2;3;1;142;8;8;8;23;1;1;1;1;1;39;3630;1;1;1;10;1;36;14;4,6355;0
177;62;22,9459;5;1;1;1;1;3;1;1;0;5;5;5;7;1;1;1;1;1;56;3000;1;1;1;10;1;12;17;12,1028;0
178;2;0,0134;2;1;2;1;1;1;1;1;257;3;9;9;9;1;1;1;1;1;39;5418;1;1;1;12;1;6;7;0,0002;0
179;1;0,5823;3;2;1;2;1;2;1;1;92;6;7;12;12;1;2;1;1;1;31;5000;1;1;1;10;1;24;6;5,0083;0
180;1;53,0827;3;1;1;1;1;2;1;1;8;3;3;3;3;1;1;1;1;1;36;4109;1;1;1;10;1;12;12;17,5772;0
181;1;38,0151;2;1;1;1;1;1;1;1;14;2;2;2;2;1;1;1;1;1;45;3088;1;1;1;10;1;24;16;10,9423;0
182;66;75,0376;3;2;2;5;5;1;3;1;0;3;3;3;3;1;1;1;1;1;36;4500;1;1;1;10;1;24;18;12,1028;0
183;2;0,0335;2;1;1;3;2;1;0;1;37;3;3;6;6;1;1;1;1;1;35;4000;1;1;1;7;1;60;13;13,3689;0
184;1;0,5338;1;1;1;1;1;1;1;1;0;2;2;2;2;1;1;1;1;1;40;2501;1;1;1;8;1;12;20;5,3618;0
185;1;0,0878;1;1;2;2;2;1;1;1;22;9;9;9;9;1;1;1;1;1;39;5500;1;1;1;10;1;60;9;12,337;0
186;32;38,2849;4;1;1;3;2;2;2;1;11;4;4;4;4;1;1;1;1;1;35;4442;1;1;1;9;1;48;11;10,7069;0
187;2;19,0313;2;1;2;2;1;3;1;1;27;2;2;2;4;1;1;1;1;1;36;6500;1;1;1;10;1;36;12;43,8703;0
188;1;5,0857;1;1;1;1;1;2;1;1;17;1;3;3;4;1;1;1;1;1;53;5868;1;1;1;6;1;24;9;0,0001;0
189;38;0,2546;1;1;1;2;1;2;1;1;63;3;5;5;5;1;1;1;1;1;44;2440;1;1;1;10;1;12;20;14,2963;1
190;1;22,0971;1;2;1;3;1;5;2;1;0;1;1;1;8;1;1;1;1;1;58;3000;1;1;1;9;1;60;17;8,1896;0
191;24;8,0337;2;1;1;1;1;5;1;1;22;2;2;12;12;1;1;1;1;1;43;2440;1;1;1;12;1;60;20;15,5125;1
192;73;256,8701;5;1;1;3;1;1;1;1;0;5;5;5;5;1;1;1;1;1;55;5000;1;1;1;7;1;60;10;10,6197;0
